short_name,character,unicode,categories,search_keyword
action-settings,,/e0a6,actions,"settings,cogwheel,configuration,tools,modify,customize"
share,,/e0a7,"actions,arrows","share,reshare,distribute,arrow"
feed,,/e0a8,actions,"feed,messages,input,news,updates,latest,real-time"
role,,/e0a9,"people,status","person,individual,user,customer,permission,access,granted,open,restrictions,unlocked"
flag,,/e0aa,actions,"flag,mark,marker,important"
post,,/e0ab,"actions,callout","speech,bubble,comment,post"
inspect,,/e0ac,"actions,arrows","inspect,dialog,popup,popout,arrow"
inspect-down,,/e0ad,actions,"cancel,x,close,dialog,popup"
appointment-2,,/e0ae,calendars,"date picker,calendar,month,week,day,appointment"
target-group,,/e0af,objects,"arrow,dart,dartboard,target group,goal,audience,specific"
marketing-campaign,,/e0b0,objects,"marketing campaign,loud speaker,megaphone,notify,announcenment,public address"
message-error,,/e0b1,status,"message,error,negative,notifications,status"
comment,,/e0b2,callout,"speech,bubble,comment,discussion"
shipping-status,,/e0b3,transport,"shipping status,truck,products,delivery,supplier,transit,lorry,van,shipment"
collaborate,,/e0b4,people,"group,team,people,colleagues,communication,collaborate,teamwork,peer to peer,design thinking,work,together,project"
shortcut,,/e0b5,arrows,"shortcut,redirect,arrow"
lead-outdated,,/e0b6,money,"lead outdated,circle,dollar"
tools-opportunity,,/e0b7,"charts,objects","analytics,chart,display,data,overview,map,org,tree"
permission,,/e0b8,"documents,status","document,page,file,permission,access,granted,open,restrictions,unlocked"
supplier,,/e0b9,people,"supplier,package,product,satisfaction,returns,deliveries,warehouse,person,seller,buyer,inventory"
table-view,,/e0ba,"charts,objects,tables","analytics,chart,display,data,table,grid,view,columns,rows,waffle"
table-chart,,/e0bb,"charts,objects,tables","analytics,chart,display,data,table,columns,rows,grid,view,waffle"
switch-views,,/e0bc,actions,"switch,views,objects,arrange"
e-learning,,/e0bd,objects,"education,course,e learning,e book,bookmark,open,knowledge,school,college,computer,screen"
manager,,/e0be,people,"manager,company,overview,inform,board,leader,conference,meeting,keynote,speech,presentation"
switch-classes,,/e0bf,"actions,people","switch,views,objects,arrange,classes"
simple-payment,,/e0c0,money,"sales,simple payment,money,bill,details,quote"
signature,,/e0c1,actions,"pencil,pen,signature,sign"
sales-order-item,,/e0c2,"documents,money","document,page,file,sales order item,money,bill,details,quote"
sales-order,,/e0c3,"documents,money","document,page,file,sales order,money,bill,details,quote"
request,,/e0c4,"actions,documents","document,page,file,text,edit,write,new,pencil,pen,request"
receipt,,/e0c5,"actions,form,money","money,bill,details,proof,sale,receipt"
puzzle,,/e0c6,objects,"puzzle,pieces,fit,together,jigsaw,thinking,objects,challenge"
process,,/e0c7,"actions,arrows","process,flow,arrow,chevron"
private,,/e0c8,"people,status","person,individual,user,customer,human,locked,in use,occupied,restricted,private,forbidden"
popup-window,,/e0c9,"actions,devices","computer,dialog,popup,window,screen,popout"
person-placeholder,,/e0ca,people,"person,individual,user,customer,human,profile,me"
per-diem,,/e0cb,"calendars,money","euro,time,per diem,calendar"
paper-plane,,/e0cc,"actions,objects","send,flight,paper,plane,fly,message,note,folded"
paid-leave,,/e0cd,money,"paid leave,money,dollar,bill,approved"
pdf-reader,,/e0ce,"actions,documents","pdf reader,document,display,file"
overview-chart,,/e0cf,charts,"analytics,chart,display,data,overview,map,org"
overlay,,/e0d0,objects,"overlay,circle,dot"
org-chart,,/e0d1,charts,"analytics,chart,display,data,overview,map,org,tree"
number-sign,,/e0d2,objects,"number sign,hash,#'"
notification-2,,/e0d3,"actions,callout","speech,bubble,comment,discussion,notification"
my-sales-order,,/e0d4,"documents,people","document,page,sales,order,money,bill,details,quote,invoice"
meal,,/e0d5,objects,"meal,knife and fork,dinner,lunch,eating,dine,expenses"
loan,,/e0d6,objects,"money bag,bank,dollar,tag"
order-status,,/e0d7,documents,"document,page,file,attachment,order,status"
customer-order-entry,,/e0d8,form,"sign,signature,order,entry,customer,contract,agreement"
performance,,/e0d9,objects,"gauge,measure,speed,monitor,performance"
menu,,/e0da,actions,"menu,list"
employee-lookup,,/e0db,people,"customer,user,person,individual,contacts,look up,find,search"
education,,/e0dc,objects,"education,course,learning,e book,bookmark,open,knowledge,school,college"
customer-briefing,,/e0dd,people,"customer,user,person,individual,contacts,address,email,e-mail,briefing"
customer-and-contacts,,/e0de,people,"customer,user,person,individual,contacts,address,email,e-mail"
my-view,,/e0df,"actions,objects,people","my view,person,profile,tv,monitor,video call,individual,cutomer,user"
accelerated,,/e0e0,calendars,"calendar,time,speed"
to-be-reviewed,,/e0e1,status,"to be reviewed,indicator,information"
warning2,,/e0e2,status,"warning,to be reviewed,indicator,information"
feeder-arrow,,/e0e3,arrows,"feeder,arrow,input,enter text,execute,send"
quality-issue,,/e0e4,status,"quality issue,warning,problem,attention,status,details"
workflow-tasks,,/e0e5,"actions,calendars","calendar,workflow,task,process,steps,project"
create,,/e0e6,"actions,documents","document,page,file,attachment,create,new"
home-share,,/e0e7,"actions,places","globe,world,goegraphical,earth,planet,share,global distribution,arrow"
globe,,/e0e8,"objects,places","globe,world,goegraphical,earth,planet,international,global"
tags,,/e0e9,"actions,objects","tag,label,marker,indicator,detail"
work-history,,/e0ea,folder,"folder,person,work history"
x-ray,,/e0eb,medical,"x ray,procedure,scan,medical"
wounds-doc,,/e0ec,"medical,people","wounds,doc,injury,accident,hospital,patient,emergency,health,illness,cross"
web-cam,,/e0ed,"actions,devices,objects","web cam,camera,live,video,visual"
waiver,,/e0ee,money,"waiver,money bag,percentage"
vertical-bar-chart,,/e0ef,charts,"analytics,chart,display,data,bar,vertical,column"
upstacked-chart,,/e0f0,charts,"analytics,chart,display,data,upstacked,vertical,column"
trip-report,,/e0f1,"charts,status,transport","analytics,chart,display,data,suitcase,trip,report,business trip"
microphone,,/e0f2,"actions,objects","microphone,mic,keynote,announcement,speech,talk,audio,dictate,record"
unpaid-leave,,/e0f3,money,"unpaid leave,money,dollar,bill,rejected"
tree,,/e0f4,"charts,objects","analytics,chart,display,data,overview,map,org,tree"
toaster-up,,/e0f5,"actions,objects","toaster,up,details"
toaster-top,,/e0f6,objects,"toaster,top,details"
toaster-down,,/e0f7,"actions,objects","toaster,down,details"
time-account,,/e0f8,time,"time,account,clock,list"
theater,,/e0f9,objects,"theater,show,play,masks"
taxi,,/e0fa,transport,"car,taxi,cab,transportation"
subway-train,,/e0fb,transport,"subway train,underground,tube"
study-leave,,/e0fc,objects,"study,education,graduate,school,college,student,qualification"
stethoscope,,/e0fd,medical,"stethoscope,medical,health,doctor,hospital,nurse"
step,,/e0fe,"actions,arrows","process,flow,step,arrow"
sonography,,/e0ff,medical,"sonography,medical,ultrasound,ultrasonography"
soccor,,/e100,objects,"soccer,ball,football,world cup"
physical-activity,,/e101,"medical,people","physical activity,runing,run,jogging"
pharmacy,,/e102,medical,"medicine,pills,drugs,pharmacy,pain,medication"
official-service,,/e103,"objects,places","official,service,government,court house,law,legal,authority,official"
offsite-work,,/e104,"objects,places","offsite work,external,company,office,outside"
nutrition-activity,,/e105,"medical,objects","apple,nutrition,activity,health,fruit"
newspaper,,/e106,objects,"newspaper,headlines,latest,updates"
monitor-payments,,/e107,"money,people","report,bill,billing,sales,expense,quote,envelope,invoice,dollar,money,monitor payments"
map-2,,/e108,"objects,places","map,card,navigation,hunt,destination,location"
machine,,/e109,objects,"machine,factory,production,supplier,technical"
mri-scan,,/e10a,medical,"mri,scan,medical"
end-user-experience-monitoring,,/e10b,objects,"end user experience monitoring,gauge,measure,speed,monitor"
unwired,,/e10c,objects,"unwired,gauge,measure,speed,monitor,performance"
customer-financial-fact-sheet,,/e10d,documents,"document,page,file,attachment,customer,financial,fact sheet,money"
retail-store-manager,,/e10e,shopping,retail store manager
Netweaver-business-client,,/e10f,objects,"netweaver business client,bird"
electronic-medical-record,,/e110,"medical,objects","electronic medical record,medical,cross,emergency,hospital"
eam-work-order,,/e111,objects,"enterprise asset management,work,order,hard hat,check,tick mark"
customer-view,,/e112,objects,"customer,view,analytics,overview"
crm-service-manager,,/e113,clipboards,"crm service manager,task,dropdown,list"
crm-sales,,/e114,objects,"crm sales,customer,relationship,management,person,star,money,list"
widgets,,/e115,objects,"widgets,random,star,dollar,plane,music,apps"
commission-check,,/e116,money,"commission check,coins,stack,search,percentage,money"
collections-insight,,/e117,money,"collections,insight,report,bill,billing,sales,expense,quote,envelope,invoice,dollar,money"
clinical-tast-tracker,,/e118,"clipboards,medical","clinical,task,tracker,clipboard,medical,checklist,check boxes"
citizen-connect,,/e119,people,"citizen connect,people,colleagues,communication,collaborate,teamwork,peer to peer,design thinking,work,together,project"
cart-approval,,/e11a,shopping,"cart,trolley,basket,shopping,item,approve,approval,accept,check"
capital-projects,,/e11b,"money,objects,places","capital projects,building,dollar,money"
bo-strategy-management,,/e11c,objects,"bo strategy management,business,object,circle"
business-objects-mobile,,/e11d,objects,"business objects mobile,analytics,chart,display,data"
business-objects-explorer,,/e11e,objects,"business objects explorer,compass"
business-objects-experience,,/e11f,charts,"analytics,chart,display,data,business objects experience,combination,line-chart,column,bar,vertical"
bbyd-dashboard,,/e120,objects,"business by design,dashboard"
bbyd-active-sales,,/e121,objects,"business by design,active,sales,search,approvals,check,book"
business-by-design,,/e122,objects,business by design
business-one,,/e123,objects,business one
sap-box,,/e124,objects,"container,box,work load,collection,documents,files,filing,directory,storage"
manager-insight,,/e125,objects,"manager,insight,company,overview,analyse,inform,board,report"
accounting-document-verification,,/e126,documents,"document,approve,verify,accounting,money,coins"
hr-approval,,/e127,"people,status","person,accept,approval,employee,hr,human resources"
idea-wall,,/e128,people,"idea,wall,collaborate,teamwork,peer to peer,design thinking,work,together,project,improve"
Chart-Tree-Map,,/e129,charts,"analytics,chart,display,data"
cart-5,,/e12a,shopping,"cart,trolley,basket,shopping,item,sap"
cart-4,,/e12b,shopping,"cart,trolley,basket,shopping,item,add,put in,insert,add,plus,additional,another,more"
wallet,,/e12c,"objects,money","money,wallet,purse,coins,bank,allowance,worth,wealth,cash,notes"
vehicle-repair,,/e12d,transport,"car,crash,accident,damage,repair,fix,garage,vehicle"
upload,,/e12e,"actions,arrows","upload,arrow"
unlocked,,/e12f,"actions,objects,status","unlocked,open padlock,open,status,available,access,unrestricted"
umbrella,,/e130,objects,"rain,umbrella,brolly,shelter,keep dry"
travel-request,,/e131,"callout,status,transport","bubble,question,exclamation,notifications,status,help"
travel-expense-report,,/e132,"money,transport","report,bill,billing,sales,travel,expense,quote,envelope,invoice"
travel-itinerary,,/e133,transport,"travel,airplane,plane,car,itinerary,schedule,plan,flight,drive"
time-overtime,,/e134,"money,time","time,overtime,clock,money,hours"
thing-type,,/e135,callout,"popup,speech,bubble,thing-type"
technical-object,,/e136,objects,"technical,object,wrench,tool,fine tune,tweak,fix,work,component"
tag,,/e137,"actions,objects","tag,label,marker,indicator,detail"
syringe,,/e138,"actions,medical","medical,emergency,hospital,syringe,needle,shot,injection"
syntax,,/e139,"actions,text","source,code,develop,write,syntax"
