unicode,character,short_name,search_keyword
&#xe811,,snowflake,"snowflake, &#xe811"
&#xe743,,sort,"sort, &#xe743"
&#xe744,,sort-ascending,"sort, table column sort, ascending, sort ascending, ascending sort, &#xe744"
&#xe745,,sort-descending,"sort, descending, sort descending, descending sort, &#xe745"
&#xe6c2,,sorted-options,"sorted-options, sorted options, &#xe6c2"
&#xe6eb,,split-view,"split, view, split view, &#xe6eb"
&#xe71e,,spread,"spread, &#xe71e"
&#xe763,,SQL,"sql, query, data, integration, data integration, &#xe763"
&#xe6db,,square,"square, chloropleth layer, environement for r-language auto suggestion, hloropleth layer for geo maps, square, two squares, &#xe6db"
&#xe666,,stacked-bar-columns,"chart, stacked bar columns, bar columns, stacked-bar-columns, stacked bar, vertical stacked bar chart, vertical stacked bar, &#xe666"
&#xe665,,stacked-bar-rows,"stacked bar chart, chart, horizontal chart, stacked bars, horizontal stacked bars, &#xe665"
&#xe6ff,,star,"star, star outline, favorite, indicate rating, &#xe6ff"
&#xe62c,,star-filled,"star, filled star, star filled, favorite, indicate rating, &#xe62c"
&#xe79a,,static-filter,"static, filter, static filter, filter static, &#xe79a"
&#xe71d,,step,"step, &#xe71d"
&#xe7c4,,stop-process,"stop-process, stop, process, process stop, stop button, &#xe7c4"
&#xe7f9,,stop-watch,"stop, stop watch, stop-watch, watch, time, stop clock, &#xe7f9"
&#xe784,,store,"store, shop, retail, market, &#xe784"
&#xe6b2,,stories,"story, stories, chart, story dashboard, dashboard, &#xe6b2"
&#xe64f,,strike,"strike, strikethrough, strike through, text strike through, strike through for text, strike through styling, striked text, text, &#xe64f"
&#xe644,,style,"style, paint palette, palette, theme, apply theme, &#xe644"
&#xe636,,success,"check, check mark, checkmark, success, checkmark in square, &#xe636"
&#xe795,,sum,"sum, &#xe795"
&#xe687,,summary,"summary, &#xe687"
&#xe76b,,support,"support, &#xe76b"
&#xe807,,tab-container,"tab-container, tab, container, &#xe807"
&#xe6af,,table,"table, tables, &#xe6af"
&#xe81a,,table-builder,"table-builder, table builder, builder, wrench, tools, table, dwc, data builder, builder-table, &#xe81a"
&#xe815,,table-view,"table, table view, view, dwc, table-view, &#xe815"
&#xe642,,tag,"tag, &#xe642"
&#xe675,,task,"task, &#xe675"
&#xe7ec,,team-folder,"team, folder, team folder, folder team, teams folder, people, &#xe7ec"
&#xe81e,,temperature-cold,"temperature, cold, temperature cold, cold temperature, &#xe81e"
&#xe81f,,temperature-hot,"temperature, hot, hot temperature, temperature hot, &#xe81f"
&#xe681,,template,"template, story templates, story template, &#xe681"
&#xe79b,,temporary-filter,"temporary filter, filter, temporary, &#xe79b"
&#xe771,,terminal,"terminal, &#xe771"
&#xe68e,,text,"aa, text, font, font size, &#xe68e"
&#xe78a,,text-abc,"text, abc, text abc, abc text, font, &#xe78a"
&#xe79c,,text-wrap,"text-wrap, text, wrap, wrap chart title, wrap chart title text, text wrap, wrap text to next line, &#xe79c"
&#xe7eb,,third-party-content,"third party content, content, third party, person, &#xe7eb"
&#xe789,,threshold-alert,"circle, threshold, alert, threshold alert, threshold-alert, &#xe789"
&#xe787,,threshold-good,"square, threshold, good, threshold good, good threshold, &#xe787"
&#xe788,,threshold-warning,"threshold, threshold warning, warning, warning threshold, triangle, &#xe788"
&#xe732,,tiles,"tiles, &#xe732"
&#xe6e9,,time,"time, &#xe6e9"
&#xe78d,,time-calculation,"time, calculation, time calculation, clock, formula, time-calculation, &#xe78d"
&#xe805,,time-entry-request,"time, entry, request, time entry request, time input, clock, &#xe805"
&#xe719,,time-series,"time series, timeseries, time, chart, time series chart, clock, &#xe719"
&#xe691,,timeline,"timeline, timeline panel, trigger timeline panel, &#xe691"
&#xe824,,toggle-switch,"switch, toggle, toggle switch, toggle-switch, &#xe824"
&#xe75d,,tooltip,"tooltip"
&#xe6bb,,top-aligned-object,"top, aligned, object, top-aligned-object, top-aligned, aligned-object, &#xe6bb"
&#xe781,,top-and-bottom-border,"top and bottom border, top and bottom, border, &#xe781"
&#xe656,,top-border,"top-border, top, border, &#xe656"
&#xe823,,tracking,"tracking, &#xe823"
&#xe770,,transfer_briefcase,"transfer_briefcase, &#xe770"
&#xe728,,transform,"transform, &#xe728"
&#xe7e6,,translation,"translation, language, languages, &#xe7e6"
&#xe7bf,,tree,"tree, tree diagram, diagram"
&#xe6f9,,tree-map,"tree, tree map, tree map chart, chart, chart widget, treemap"
&#xe6a6,,trend,"arrow, trend, up, diagonal, increase, improve"
&#xe7df,,tri-state,"tri state, tri-state, input control tri state, checkbox tri state, checkbox tri-state, tri-state for checkbox"
&#xe62a,,truncation,"truncation, &#xe62a"
&#xe62b,,truncation-options,"truncation, options, truncation options, options truncation, &#xe62b"
&#xe74e,,turtle,"turtle, &#xe74e"
&#xe782,,twitter,"bird, twitter, social platform, &#xe782"
&#xe64e,,underline,"underline, underline text, &#xe64e"
&#xe616,,undo,"undo, undo action, xe616, undo an action, &#xe616"
&#xe727,,ungroup,"ungroup, ungroup objects, ungroup widgets, &#xe727"
&#xe725,,union,"union, node, vdt, union node, &#xe725"
&#xe7e2,,unique,"thumb print, thumb, unique, unique key, found in data wrangling, &#xe7e2"
&#xe673,,unlink,"link, unlink, &#xe673"
&#xe64b,,unmerge-cells,"unmerge, unmerge cells, cells, unmerge-cells, &#xe64b"
&#xe7fc,,unpivot-transformation,"unpivot, transformation, unpivot, transformation, unpivot_transformation, unpivot-transformation, &#xe7fc"
&#xe624,,up,"up, arrow, up arrow, &#xe624"
&#xe62d,,upload,"upload, copy content from me to electronic location, &#xe62d"
&#xe817,,upload-to-cloud,"&#xe817, upload, to, cloud"
&#xe67c,,users,"users, user, persons, people, multiple people, group of people, more than one person"
&#xe84b,,uuid,"uuid, id,, identification"
&#xe6ea,,value-driver-tree,"value-driver-tree, value driver tree, planning, value driver, value_driver_tree, value, driver, tree, impact, lineage, analysis, impact and lineage analysis, lineage analysis, impact analysis, dwc, &#xe6ea, e6ea"
&#xe6c9,,value-help,"value, help, value help, launch dialog, two squares, squares"
&#xe6d4,,variable,"prompt, script variable"
&#xe6d5,,variable-options,""
&#xe688,,variance,"variance, bar, chart, variance bar chart"
&#xe796,,variance-bar,"variance, variance-bar, variance as bar, display variance as bar, bar variance, bar, bar-variance"
&#xe689,,variance-line,"variance, line variance, variance line, variance as line, line, chart"
&#xe712,,vector,"vector, vector path, path, vector tool"
&#xe648,,versions,"versions, categories & versions, direction sign, planning, versions panel, version, &#xe648"
&#xe649,,versions-options,"version, options, version options, versions-options"
&#xe69f,,vertical-align-bottom,"vertical, align, bottom, styling, vertical-align-bottom, &#xe69f"
&#xe69e,,vertical-align-middle,"vertical, align, middle, vertical align middle, text, align text, align text to middle, vertical-align-middle, &#xe69e"
&#xe69d,,vertical-align-top,"vertical, align, top, vertical align top, align top, text align top, align text to top, vertical-align-top"
&#xe6b9,,vertically-aligned-object,"vertically aligned object, vertically, aligned, object, vertically-aligned-object, &#xe6b9"
&#xe637,,warning,"warning, &#xe637"
