short_name,character,unicode,search_keyword
female,,0xe0A5,"cross,gender"
male,,0xe0A6,"arrow,gender"
model,,0xe0A7,"pump,engine,pipeline,generator,sheet,dataset"
hourglass,,0xe0A8,"sand,diabolo"
plain-grid-layout,,0xe0A9,"square,grid,division,partition,split"
top-panel-layout,,0xe0AA,"square,grid,division,partition,split"
2x1-grid-layout,,0xe0AB,
1x2-grid-layout,,0xe0AC,"square,grid,division,partition,split"
side-panel-left-layout,,0xe0AD,"square,grid,division,partition,split"
2x2-grid-layout,,0xe0AE,"square,grid,division,partition,split"
inverse-t-layout,,0xe0AF,"square,grid,division,partition,split"
t-layout,,0xe0B0,"square,grid,division,partition,split"
top-side-panel-layout,,0xe0B1,"square,grid,division,partition,split"
side-top-panel-layout,,0xe0B2,"square,grid,division,partition,split"
4x4-grid-layout,,0xe0B3,"square,grid,division,partition,split"
add-point,,0xe0B4,"plus,circle,ball"
add-polyline,,0xe0B5,"plus,share,price"
add-polygone,,0xe0B6,"plus,layer,window,rectangle"
email-send-delayed,,0xe0B7,"clock,timer,time,watch"
email-not-opened,,0xe0B8,"warning,exclamation mark,reminder,attention"
link-not-clicked,,0xe0B9,"warning,exclamation mark,reminder,attention"
sms-send-delayed,,0xe0BA,"clock,timer,time,watch,speech bubble,conversation,chat"
ab-testing,,0xe0BB,"mail,duplicate,store"
tv,,0xe0BC,"screen,monitor,technical device,hi-fi,smart-tv,broadcast"
radio,,0xe0BD,"technical device,sound,tuner"
outdoor,,0xe0BE,"hills,mountains,sun,tree,image,landscape"
event,,0xe0BF,"cinema,keynote,party,workshop,team,beamer,announcement"
paid-search,,0xe0C0,"money,finder,lens,glass,finance,deposit"
tractor,,0xe0C0,"load,cargo,freight,street,vehicle"
display-ads,,0xe0C1,"screen,monitor,website,information,layout,screendesign,shopping,online,social media,facebook"
call-center,,0xe0C2,"person,individual,user,customer,human,headset,phones,microphone"
social,,0xe0C3,"people,person,group,team,conversation,chat,bubble,workshop"
event2,,0xe0C4,"calendar,time,clock,watch,date"
official-service-group,,0xe0C5,"bank,account,data,storage,folder,finance,money"
time-deposit,,0xe0C6,"clock,timer,money,bag"
early-widthdrawal-for-time-deposits,,0xe0C7,"clock,timer,money,bag"
aggregated-view,,0xe0C8,"sort,order,tree view"
detailed-view,,0xe0C9,"sort,order,tree view"
rescheduling,,0xe0CA,"change,replacement,placement,select,switch,move"
resequencing,,0xe0CB,"change,replacement,placement,select,switch,move"
movement-warning,,0xe0CC,"alert,attention,square"
multiple-warnings,,0xe0CD,"alert,attention,square"
box-truck,,0xe0CE,"load,cargo,freight,street,vehicle"
box-truck-empty,,0xe0CF,"load,cargo,freight,street,vehicle"
driver,,0xe0D1,"people,target-user,driver"
driver-warning,,0xe0D2,"people,target-user,warning,attention,driver"
overlap,,0xe0D3,"object,overlap,window"
expand-overlap,,0xe0D4,"object,overlap,window,hierarchy,expand"
collapse-overlap,,0xe0D5,"object,overlap,wiondow,hierarchy,expand"
utilization,,0xe0D6,"utilization,evaluation,usage"
expand-utilization,,0xe0D7,"utilization,evaluation,usage,expand,show"
trailer,,0xe0D7,"vehicle,load,cargo,freight,trailer,street,transportation"
collapse-utilization,,0xe0D8,"utilization,evaluation,usage,collapse,hide"
container-closed,,0xe0DA,"container,cargo,freight"
railcar,,0xe0DB,"vehicle,load,cargo,freight,railway,transportation"
warehouse,,0xe0DC,"building,warehouse,industry,repository,depository"
goods,,0xe0DD,"beverage,product,goods"
ship,,0xe0DE,"vehicle,load,cargo,freight,shipment,transportation"
truck-driver,,0xe0DF,"vehicle,truck,driver"
return-delivery,,0xe0E0,"vehicle,load,cargo,deposit,depository"
return-order,,0xe0E1,"document,order,return,money,receipt"
contract,,0xe0E2,"document,order,contract,deal,agreement"
business-partner,,0xe0E3,"people,partner,collaboration,business-partner"
business-partner-verified,,0xe0E4,"people,partner,collaboration,business-partner,verification"
business-partner-anonymous,,0xe0E5,"people,partner,collaboration,business-partner,anonymous"
business-partner-self-identified,,0xe0E6,"people,partner,collaboration,business-partner,favorite"
money-withdrawal,,0xe0E7,"money,withdrawal,moneybag"
truck-load,,0xe0E8,"vehicle,load,cargo,freight,truck,street"
truck-unload,,0xe0e9,"vehicle,unload,deposit,cargo,freight,truck,street"
truck-load-unload,,0xe0ea,"vehicle,load,unload,cargo,freight,truck,street"
pharmacy,,0xe0eb,"health,medicine,pharmacy,making"
medicine-syrup,,0xe0ec,"health,medicine,pharmacy,medication,syrup"
reminder,,0xe0ed,"time,reminder,alarm,timer"
medicine-pill,,0xe0ee,"health,medicine,pharmacy,medication,pills"
medicine-ointment,,0xe0ef,"health,medicine,pharmacy,medication,ointment,salve"
medicine-drops,,0xe0f0,"health,medicine,pharmacy,medication,drops,tincture"
blood-test,,0xe0f1,"health,blood,test,examination,diagnose"
temperature,,0xe0f2,"health,temperature,test,examination,diagnose"
medicine-inhaler,,0xe0f3,"health,medicine,pharmacy,medication,inhaler"
foot-steps,,0xe0f4,"human,foot,feet,foot-prints,steps"
weight,,0xe0f5,"health,weight,test,examination,diagnose"
health-tracking,,0xe0f6,"health,heart,test,examination,diagnose,heart-rate,activity-tracker"
blood-pressure,,0xe0f7,"health,blood,blood-pressure,test,examination,diagnose"
immunization,,0xe0f8,"health,medicine,pharmacy,immunization,vaccination,injection"
allergies,,0xe0f9,"health,allergies,diagnose"
rescheduling2,,0xe0fa,"planning,scheduling,rescheduling,time,sequence,steps"
resequencing2,,0xe0fb,"planning,scheduling,resequencing,time,sequence,steps"
no-time-change,,0xe0fc,"planning,scheduling,change,time,sequence,steps"
time-change,,0xe0fd,"planning,scheduling,change-time,time,sequence,steps"
smart-matcher,,0xe0fe,"people,match,agreement"
3d,,0xe0ff,"object,cube,3d,box"
parallel-sequence,,0xe100,"planning,scheduling,process,parallel,sequence,flow"
alternative-sequence,,0xe101,"planning,scheduling,process,alternative-sequence,flow,decision"
main-sequence,,0xe102,"planning,scheduling,process,main-sequence,flow"
refinery,,0xe103,"building,factory,warehouse,industry,production"
terminal,,0xe104,"building,terminal,collecting-point,reloading-point,transshipment"
vessel,,0xe105,"vehicle,load,cargo,freight,shipment,vessel,transportation"
barge,,0xe106,"vehicle,load,cargo,freight,shipment,barge,transportation"
road,,0xe107,"vehicle,load,cargo,freight,truck,street,transportation"
pipeline,,0xe108,"pipeline,channel,tube,transportation"
delay,,0xe109,"time,reminder,timer,delay,warning"
legal-section,,0xe10a,"document,legal,section"
causes,,0xe10b,"analytics,evaluation,cog-wheel,cause"
effects,,0xe10c,"analytics,evaluation,cog-wheel,effects"
shared-by-me,,0xe10d,"people,team,group,shared,deliver"
shared-with-me,,0xe10e,"people,team,group,shared,received"
main-milestone,,0xe10f,"planning,goal,milestone,steps"
indicator-groups,,0xe110,"indicator,groups,status,time,folder"
alert-groups,,0xe111,"indicator,groups,alert,status,folder"
function-alert,,0xe112,"status,function,alert"
function-hierarchy,,0xe113,"status,function,hierarchy"
rfid,,0xe114,"device,location,indicator,alert"
input,,0xe115,"actions,arrow,status"
software-item,,0xe116,"actions,arrow,status"
product-view,,0xe117,"actions,arrow,status"
software-item-variant,,0xe118,"actions,arrow,status"
lighthouse,,0xe119,"status,building,things,important,highlight,app,light"
demand-unit,,0xe11a,"people,person,circle"
fma-management,,0xe11b,"alert,status,light,bulb"
fma-validation,,0xe11c,"flowchart,tree,hierarchy,class"
fma-analytics,,0xe11d,
class,,0xe11e,"alert,status,chart,pie"
overview,,0xe11f,"eye,arrow,rewind,0verlook"
production,,0xe120,"machine,production"
subclass,,0xe121,"flowchart,tree,hierarchy,class"
variant-configuration,,0xe122,"component,variant,configuration,product"
sum,,0xe123,
add-outside,,0xe124,"component,outside,add,product"
compressor,,0xe125,"component,private,locked"
dehydrator,,0xe126,"component,oil,gas,product"
heater-treater,,0xe127,"component,oil,gas,product"
pump,,0xe128,"component,oil,gas,product"
separator,,0xe129,"component,oil,gas,product"
well-completion,,0xe12a,"component,oil,gas"
well,,0xe12b,"component,oil,gas"
meter-chained,,0xe12c,"component,chain"
cluster-chained,,0xe12d,"component,chain"
tank-chained,,0xe12e,"component,chain"
empty-trailer,,0xe12f,"travel,transport"
door,,0xe130,"objects,places"
loading-point,,0xe131,"objects,transport,status"
stock-warehouse,,0xe132,"transport,places"
gate,,0xe133,"objects,things,transport,places"
